|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 7     | 32   | Jesus and the Rapture - Part 1                                                                                   | Andy Woods                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 7     | 36   | The Benefits of Studying Biblical Prophecy - Part 1                                                              | Steve Schmutzer                                                      |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 8     | 3    | It's Absolutely Amazing... Letter From Gary                                                                      | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 8     | 4    | The Prophecy of the Leopard Priesthood                                                                           | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 8     | 11   | Ask Gary Stearman Solid Biblical Answers to Reader Questions                                                     | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 8     | 14   | Blessed Hope Prophecy Forum Returning to Norman, OK                                                              | Bob Ulrich                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 8     | 20   | The Benefits of Studying Bible Prophecy - Part 2                                                                 | Steve Schmutzer                                                      |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 8     | 26   | Haven't We Waited Long Enough?                                                                                   | Jan Markell                                                          |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 8     | 28   | The Five Biblical Judgments                                                                                      | Clarence Larkin                                                      |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 8     | 32   | Jesus and the Rapture - Part 2                                                                                   | Pastor Andy Woods                                                    |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 9     | 3    | In This Increasingly Self-Indulgent World... Letter From Gary                                                    | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 9     | 4    | Who Are The Rephaim?                                                                                             | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 9     | 11   | Ask Gary Stearman Solid Biblical Answers to Reader Questions                                                     | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 9     | 20   | The Ruin and Restoration Theory                                                                                  | Steven Dill                                                          |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 9     | 32   | Jesus and the Rapture - Part 3                                                                                   | Pastor Andy Woods                                                    |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 10    | 3    | How Can We Relax? Letter From Gary                                                                               | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 10    | 4    | Judas Iscariot: Type of the Antichrist                                                                           | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 10    | 11   | Ask Gary Stearman Solid Biblical Answers to Reader Questions                                                     | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 10    | 20   | Raptured - Part 1                                                                                                | Lambert Dolphin                                                      |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 10    | 26   | UFO Disclosure: The 70-Year Coverup Exposed and the Coming Great Deception                                       | L.A. Marzulli                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 10    | 32   | The Potential Pitfalls with the Traditional View of the Seal Judgments                                           | Bill Salus                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 11    | 3    | Have Your Read Our Mission Statement? Letter From Gary                                                           | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 11    | 4    | Turning Out the Light                                                                                            | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 11    | 11   | Ask Gary Stearman Solid Biblical Answers to Reader Questions                                                     | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 11    | 20   | Raptured (Part 2)                                                                                                | Lambert Dolphin                                                      |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 11    | 26   | Who Are the Sons of God in Genesis 6? (Part 1)                                                                   | Steve Schmutzer                                                      |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 11    | 32   | The Potential Pitfalls with the Traditional View of the Seal Judgments (Part 2)                                  | Bill Salus                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 12    | 3    | No Matter How Hard You Try... Letter From Gary                                                                   | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 12    | 4    | The World's Greatest Gift                                                                                        | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 12    | 11   | Ask Gary Stearman Solid Biblical Answers to Reader Questions                                                     | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 12    | 20   | Bible Prophecy 101 (Part 1)                                                                                      | Todd Hampson                                                         |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 12    | 26   | Who Are the Sons of God in Genesis 6? (part 2)                                                                   | Steve Schmutzer                                                      |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 12    | 32   | Understanding Ezekiel 31 (Part 1)                                                                                | Ryan Pitterson                                                       |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 1     | 3    | All Who Have Followed Our Ministry... Letter from Gary                                                           | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 1     | 4    | Before the Day of the Lord                                                                                       | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 1     | 8    | God's Christmas Blessing!                                                                                        | Bob Ulrich                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 1     | 11   | Ask Gary Stearman Solid Biblical Answers to Reader Questions                                                     | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 1     | 20   | Bible Prophecy 101 (Part 2) What Are the End Time Signs?                                                         | Todd Hampson                                                         |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 1     | 26   | Who are the Sons of God in Genesis 6 (Part 3)                                                                    | Steve Schmutzer                                                      |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 1     | 32   | Understanding Ezekiel 31 (Part 2)                                                                                | Ryan Pitterson                                                       |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 1     | 36   | Hebrew Secrets Revealed! The Pomegranate                                                                         | Dr. Danny Ben Gigi                                                   |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 2     | 3    | Something Important to Remember... Letter from Gary                                                              | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 2     | 4    | The Dan Effect: Jacob's Prophecy, the Rapture and the Antichrist                                                 | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 2     | 9    | New Building Update                                                                                              | Bob Ulrich                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 2     | 11   | Ask Gary Stearman Solid Biblical Answers to Reader Questions                                                     | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 2     | 20   | Bible Prophecy 101 (Part 3) How Does Prophecy Prove Divine Authorship?                                           | Todd Hampson                                                         |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 2     | 26   | Who Are the Sons of God in Genesis 6 (Part 4)                                                                    | Steve Schmutzer                                                      |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 2     | 32   | Psalm 83/Ezekiel 38                                                                                              | Bill Salus                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 2     | 36   | High Voltage Electricity in Bible Prophecy                                                                       | Dr. Danny Ben Gigi                                                   |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 3     | 3    | The Catching-Away of the Church... Letter from Gary                                                              | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 3     | 4    | The Light of the World                                                                                           | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 3     | 11   | Ask Gary Stearman Solid Biblical Answers to Reader Questions                                                     | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 3     | 20   | Bible Prophecy 101 (Part 4) Specific Examples of Fulfilled Prophecy                                              | Todd Hampson                                                         |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 3     | 26   | Who Are the Sons of God in Genesis 6? (Part 5) Fallen Angel's Agenda Against the Jews                            | Steve Schmutzer                                                      |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 3     | 32   | The Parable of the Ten Virgins                                                                                   | Dr. Thomas Ice                                                       |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 3     | 36   | Cattle Mutilations: Unholy Sacrifices                                                                            | L.A. Marzulli                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 4     | 3    | As This is Written... Letter from Gary                                                                           | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 4     | 4    | The Tabernacle Prophecy Symbolic or Reality?                                                                     | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 4     | 11   | Ask Gary Stearman Solid Biblical Answers to Reader Questions                                                     | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 4     | 20   | Bible Prophecy 101 (Part 5) What are the Practical Benefits of Studying Bible Prophecy?                          | Todd Hampson                                                         |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 4     | 26   | Who Are the Sons of God in Genesis 6? (Part 6) Fallen Angels' Agenda Against Jesus Christ                        | Steve Schmutzer                                                      |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 4     | 32   | The Rider on the White Horse                                                                                     | Pastor Ray C. Stedman                                                |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 5     | 3    | Surely You've Noticed... Letter from Gary                                                                        | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 5     | 4    | Was the Prophet Elijah Raptured? Symbolic or Reality?                                                            | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 5     | 11   | Ask Gary Stearman Solid Biblical Answers to Reader Questions                                                     | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 5     | 20   | Bible Prophecy 101 (Part 6) What are Some of the Key Terms of Bible Prophecy?                                    | Todd Hampson                                                         |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 5     | 26   | Who Are the Sons of God in Genesis 6? (Part 7) The Return of the Days of Noah                                    | Steve Schmutzer                                                      |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 5     | 32   | Forerunners of the Nephilim                                                                                      | Dr. Dennis Lindsay                                                   |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 5     | 34   | God's Eternal Ink (Don't Miss This!)                                                                             | Pastor Craig F. Pitts                                                |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 5     | 36   | The Jordan River Intersect                                                                                       | Daniel M. Wright                                                     |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 6     | 3    | Paul's Letter to the Romans... Letter from Gary                                                                  | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 6     | 4    | Pentecost and the Rapture                                                                                        | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 6     | 11   | Ask Gary Stearman Solid Biblical Answers to Reader Questions                                                     | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 6     | 20   | Bible Prophecy 101: (KEY #1) The Five Keys to Understanding the Book of Revelation Start with the Book of Daniel | Todd Hampson                                                         |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 6     | 26   | Report From the Parliament of the World's Religions                                                              | Carl Teichrib                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 6     | 32   | Mathematical Mysteries of the Moundbuiders                                                                       | L.A. Marzulli                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 7     | 3    | The Prince of Persia... Letter from Gary                                                                         | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 7     | 4    | Mysteries of the Number Seven in Light of the Rapture                                                            | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 7     | 11   | Ask Gary Stearman Solid Biblical Answers to Reader Questions                                                     | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 7     | 20   | Bible Prophecy 101: (KEY #2) Interpret the Book of Revelation Literally                                          | Todd Hampson                                                         |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 7     | 26   | Salvation in the Tribulation                                                                                     | Thomas Ice                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 7     | 29   | The Hebrew Word for Light and Albert Einstein                                                                    | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 7     | 32   | Reaping One Soul at a Time                                                                                       | Claudia Koenig                                                       |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 8     | 3    | Thinking About Keys... Letter from Gary                                                                          | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 8     | 4    | A Perfect Ten                                                                                                    | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 8     | 9    | We Now Have The Keys!                                                                                            | Bob Ulrich                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 8     | 11   | Ask Gary Stearman Solid Biblical Answers to Reader Questions                                                     | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 8     | 19   | A Farewell to Richard Shaw                                                                                       | Bob Ulrich                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 8     | 20   | Bible Prophecy 101: (KEY #3) The Symbols Are Easier To Understand Than You Think                                 | Todd Hampson                                                         |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 8     | 26   | Will Israel Go Extinct?                                                                                          | Steve Schmutzer                                                      |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 8     | 32   | Ancient Origins of the Hebrew Roots Movement                                                                     | Ken Johnson, Th.D. (Ken Johnson)                                     |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 9     | 3    | It's So Obvious... Letter from Gary                                                                              | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 9     | 4    | Trans-Dimensional Raiders                                                                                        | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 9     | 9    | Update on Our New Studio                                                                                         | Bob Ulrich                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 9     | 11   | Ask Gary Stearman Solid Biblical Answers to Reader Questions                                                     | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 9     | 19   | Five Years Ago This Month                                                                                        | Bob Ulrich                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 9     | 20   | Bible Prophecy 101: (KEY #4) Revelation is Written Chronologically (For the Most Part)                           | Todd Hampson                                                         |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 9     | 26   | The Septuagint Bible's Perspective                                                                               | Ed Strauss                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 9     | 32   | Secrets of the Supernatural                                                                                      | L.A. Marzulli                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 9     | 36   | An Overview of Pre-Darby Rapture Statements                                                                      | Dr. Thomas Ice                                                       |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 10    | 3    | Seeking Your Own Genetic Heritage? Letter to Readers                                                             | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 10    | 4    | The Twisted History of the Genetic War                                                                           | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 10    | 11   | Ask Gary Stearman Solid Biblical Answers to Reader Questions                                                     | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 10    | 19   | From My Desktop                                                                                                  | Bob Ulrich                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 10    | 20   | Bible Prophecy 101: (KEY #5) The Primary Focus of the Tribulation Period is Israel, Not the Church               | Todd Hampson                                                         |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 10    | 23   | Did Mark Twain Actually Have a Hand in Fulfilling Bible Prophecy?                                                | Bob Ulrich                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 10    | 26   | Paradise: Abraham's Bosom                                                                                        | Ed Strauss                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2019 | 10    | 32   | Does the False Covenant End the Arab-Israeli Conflict?                                                           | Bill Salus                                                           |
